snippet,bare exp,full exp,bare pat,full pat,bare patrow,full patrow,bare ty,full ty,bare valbind,full valbind,fvalbind,bare dec,full dec,bare strbind,full strbind,bare strexp,full strexp,bare funbind,full funbind,bare program,full program
datatype datbind; type typbind,R,R,R,R,R,R,R,R,R,R,R,A,A,R,R,R,R,R,R,R,R
abstype datbind withtype typbind with dec end,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R,R,R,R,R,R,R
abstype datbind with type typbind; dec end,R,R,R,R,R,R,R,R,R,R,R,A,A,R,R,R,R,R,R,R,R
,,,,,,,,,,,,,,,,,,,,,
strid : sigexp = strexp,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R,R,R,R,R
strid = strexp : sigexp,R,R,R,R,R,R,R,R,R,R,R,R,R,A,A,R,R,R,R,R,R
strid :> sigexp = strexp,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R,R,R,R,R
strid = strexp :> sigexp,R,R,R,R,R,R,R,R,R,R,R,R,R,A,A,R,R,R,R,R,R
,,,,,,,,,,,,,,,,,,,,,
funid ( strdec ),R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R,R,R
funid ( struct strdec end ),R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,A,R,R,R,R
,,,,,,,,,,,,,,,,,,,,,
funid ( strid : sigexp ) : sigexp = strexp,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R
funid ( strid : sigexp) = strexp : sigexp,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,A,R,R
funid ( strid : sigexp ) :> sigexp = strexp,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R
funid ( strid : sigexp) = strexp :> sigexp,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,A,R,R
funid ( spec ) = strexp,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R
funid ( strid : sig spec end ) = let open strid in strexp end,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,A,R,R
funid ( spec ) :> sigexp = strexp,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,R,R
funid ( strid : sig spec end ) = let open strid in strexp :> sigexp end,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A,A,R,R
,,,,,,,,,,,,,,,,,,,,,
exp;,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,A
val it = exp;,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
